CAR No,mileage,engine,max_power,seats,year,km_driven,fuel,seller_type,transmission,owner,Loan_Amount
160001,23.4 kmpl,1248 CC,74 bhp,5,2014,145500,Diesel,Individual,Manual,First Owner,450000
160002,21.14 kmpl,1498 CC,103.52 bhp,5,2014,120000,Diesel,Individual,Manual,Second Owner,370000
160003,17.7 kmpl,1497 CC,78 bhp,5,2006,140000,Petrol,Individual,Manual,Third Owner,158000
160004,23.0 kmpl,1396 CC,90 bhp,5,2010,127000,Diesel,Individual,Manual,First Owner,225000
160005,16.1 kmpl,1298 CC,88.2 bhp,5,2007,120000,Petrol,Individual,Manual,First Owner,130000
160006,20.14 kmpl,1197 CC,81.86 bhp,5,2017,45000,Petrol,Individual,Manual,First Owner,440000
160007,17.3 km/kg,1061 CC,57.5 bhp,5,2007,175000,LPG,Individual,Manual,First Owner,96000
160008,16.1 kmpl,796 CC,37 bhp,4,2001,5000,Petrol,Individual,Manual,Second Owner,45000
160009,23.59 kmpl,1364 CC,67.1 bhp,5,2011,90000,Diesel,Individual,Manual,First Owner,350000
160010,20.0 kmpl,1399 CC,68.1 bhp,5,2013,169000,Diesel,Individual,Manual,First Owner,200000
160011,19.01 kmpl,1461 CC,108.45 bhp,5,2014,68000,Diesel,Individual,Manual,Second Owner,500000
160012,17.3 kmpl,993 CC,60 bhp,5,2005,100000,Petrol,Individual,Manual,Second Owner,92000
160013,19.3 kmpl,1248 CC,73.9 bhp,5,2009,140000,Diesel,Individual,Manual,Second Owner,280000
160014,,,,,2007,80000,Petrol,Individual,Manual,Second Owner,200000
160015,18.9 kmpl,1061 CC,67 bhp,5,2009,90000,Petrol,Individual,Manual,Second Owner,180000
160016,18.15 kmpl,1198 CC,82 bhp,5,2016,40000,Petrol,Individual,Manual,First Owner,400000
160017,24.52 kmpl,1248 CC,88.5 bhp,7,2016,70000,Diesel,Individual,Manual,Second Owner,778000
160018,23.0 kmpl,1396 CC,90 bhp,5,2012,53000,Diesel,Individual,Manual,Second Owner,500000
160019,19.7 kmpl,796 CC,46.3 bhp,5,2002,80000,Petrol,Individual,Manual,Second Owner,150000
160020,22.54 kmpl,1396 CC,88.73 bhp,5,2016,100000,Diesel,Individual,Manual,First Owner,680000
160021,21.0 kmpl,1461 CC,64.1 bhp,5,2011,100000,Diesel,Individual,Manual,Second Owner,174000
160022,25.5 kmpl,1498 CC,98.6 bhp,5,2017,50000,Diesel,Individual,Manual,First Owner,950000
160023,26.59 kmpl,1248 CC,74 bhp,5,2015,40000,Diesel,Individual,Manual,First Owner,525000
160024,21.5 kmpl,1248 CC,88.8 bhp,5,2012,72000,Diesel,Individual,Manual,First Owner,600000
160025,20.3 kmpl,1199 CC,83.81 bhp,5,2018,35000,Petrol,Individual,Manual,First Owner,500000
160026,21.4 kmpl,1197 CC,83.1 bhp,5,2016,45000,Petrol,Individual,Manual,First Owner,575000
160027,24.7 kmpl,796 CC,47.3 bhp,5,2017,28000,Petrol,Individual,Manual,First Owner,275000
160028,18.2 kmpl,1248 CC,73.8 bhp,7,2013,70000,Diesel,Individual,Manual,First Owner,300000
160029,18.9 kmpl,1061 CC,67 bhp,5,2009,120000,Petrol,Individual,Manual,First Owner,220000
160030,16.8 kmpl,796 CC,34.2 bhp,8,2018,25000,Petrol,Individual,Manual,First Owner,254999
160031,24.3 kmpl,1248 CC,88.5 bhp,5,2017,70000,Diesel,Individual,Manual,First Owner,670000
160032,,,,,2003,50000,Petrol,Individual,Manual,Second Owner,70000
160033,14.0 kmpl,796 CC,35 bhp,5,2012,35000,Petrol,Individual,Manual,Second Owner,150000
160034,18.6 kmpl,1197 CC,81.83 bhp,5,2018,2388,Petrol,Individual,Manual,First Owner,730000
160035,24.3 kmpl,1248 CC,88.5 bhp,5,2017,16200,Diesel,Individual,Manual,First Owner,650000
160036,33.44 km/kg,796 CC,40.3 bhp,4,2019,10000,CNG,Individual,Manual,Second Owner,330000
160037,23.95 kmpl,998 CC,67.1 bhp,5,2019,15000,Petrol,Individual,Manual,First Owner,366000
160038,17.0 kmpl,1591 CC,121.3 bhp,5,2019,5000,Petrol,Individual,Manual,First Owner,1149000
160039,20.63 kmpl,1198 CC,67 bhp,5,2016,42000,Petrol,Individual,Manual,First Owner,150000
160040,13.93 kmpl,2179 CC,138.03 bhp,7,2011,60000,Diesel,Individual,Manual,Second Owner,425000
160041,16.1 kmpl,796 CC,37 bhp,4,2012,76000,Petrol,Individual,Manual,First Owner,150000
160042,16.0 kmpl,1368 CC,160.77 bhp,5,2019,5000,Petrol,Individual,Automatic,First Owner,2100000
160043,17.8 kmpl,1497 CC,117.3 bhp,5,2018,28900,Petrol,Dealer,Manual,First Owner,925000
160044,16.8 kmpl,1497 CC,116.3 bhp,5,2013,86300,Petrol,Dealer,Manual,First Owner,425000
160045,18.5 kmpl,1197 CC,83.14 bhp,5,2018,23300,Petrol,Dealer,Automatic,First Owner,675000
160046,24.3 kmpl,1248 CC,88.5 bhp,5,2018,32600,Diesel,Dealer,Manual,First Owner,819999
160047,23.95 kmpl,998 CC,67.05 bhp,5,2018,10300,Petrol,Dealer,Manual,First Owner,390000
160048,12.55 kmpl,2982 CC,168.5 bhp,7,2014,77000,Diesel,Dealer,Manual,First Owner,1500000
160049,12.99 kmpl,2494 CC,100 bhp,7,2013,99000,Diesel,Dealer,Manual,First Owner,700000
160050,14.8 kmpl,2143 CC,120.7 bhp,5,2014,27800,Diesel,Dealer,Automatic,Second Owner,1450000
160051,24.7 kmpl,1498 CC,98.63 bhp,5,2015,49800,Diesel,Dealer,Manual,First Owner,425000
160052,13.5 kmpl,2477 CC,175.56 bhp,7,2013,151000,Diesel,Dealer,Manual,First Owner,1090000
160053,26.0 kmpl,1498 CC,98.6 bhp,5,2015,54700,Diesel,Dealer,Manual,First Owner,600000
160054,20.65 kmpl,1462 CC,103.25 bhp,5,2018,64000,Petrol,Dealer,Manual,First Owner,850000
160055,27.3 kmpl,1498 CC,98.6 bhp,5,2015,63000,Diesel,Dealer,Manual,First Owner,525000
160056,11.36 kmpl,2755 CC,171.5 bhp,7,2016,127700,Diesel,Dealer,Automatic,Second Owner,1650000
160057,12.99 kmpl,2494 CC,100.6 bhp,7,2016,99000,Diesel,Dealer,Manual,First Owner,950000
160058,17.68 kmpl,1968 CC,174.33 bhp,5,2013,33900,Diesel,Dealer,Automatic,Second Owner,1750000
160059,14.28 kmpl,1798 CC,138.03 bhp,5,2018,25000,Petrol,Dealer,Automatic,First Owner,1590000
160060,18.53 kmpl,1968 CC,187.74 bhp,5,2013,50000,Diesel,Dealer,Automatic,First Owner,1689999
160061,14.84 kmpl,2143 CC,170 bhp,5,2013,59000,Diesel,Dealer,Automatic,First Owner,1425000
160062,21.12 kmpl,1248 CC,88.8 bhp,5,2011,120000,Diesel,Individual,Manual,First Owner,265000
160063,20.36 kmpl,1197 CC,78.9 bhp,5,2011,110000,Petrol,Individual,Manual,Third Owner,190000
160064,21.27 kmpl,1396 CC,88.76 bhp,5,2013,60000,Diesel,Individual,Manual,First Owner,425000
160065,26.59 kmpl,1248 CC,74 bhp,5,2015,147000,Diesel,Individual,Manual,Second Owner,630000
160066,18.16 kmpl,1196 CC,86.8 bhp,5,2017,25000,Petrol,Individual,Manual,Third Owner,600000
160067,21.4 kmpl,1197 CC,83.1 bhp,5,2019,30000,Petrol,Individual,Manual,First Owner,650000
160068,22.0 kmpl,1498 CC,108.495 bhp,5,2016,40000,Diesel,Individual,Manual,First Owner,540000
160069,25.1 kmpl,1498 CC,98.6 bhp,5,2015,135000,Diesel,Individual,Manual,First Owner,630000
160070,20.51 kmpl,998 CC,67 bhp,5,2018,30000,Petrol,Individual,Automatic,First Owner,448000
160071,21.66 kmpl,1498 CC,108.62 bhp,5,2017,80000,Diesel,Individual,Manual,First Owner,500000
160072,24.3 kmpl,1248 CC,88.5 bhp,5,2016,70000,Diesel,Individual,Manual,First Owner,745000
160073,24.3 kmpl,1248 CC,88.5 bhp,5,2019,9850,Diesel,Individual,Automatic,First Owner,1025000
160074,20.36 kmpl,1197 CC,78.9 bhp,5,2011,60000,Petrol,Individual,Manual,Second Owner,235000
160075,25.2 kmpl,1248 CC,74 bhp,5,2016,70000,Diesel,Individual,Manual,First Owner,630000
160076,12.55 kmpl,2982 CC,168.5 bhp,7,2015,78000,Diesel,Individual,Manual,Second Owner,1700000
160077,22.9 kmpl,1248 CC,74 bhp,5,2013,120000,Diesel,Individual,Manual,Second Owner,450000
160078,16.02 kmpl,1373 CC,93.7 bhp,7,2012,120000,Petrol,Individual,Manual,Second Owner,450000
160079,,,,,2003,70000,Diesel,Individual,Manual,First Owner,50000
160080,20.54 kmpl,1598 CC,103.6 bhp,5,2013,170000,Diesel,Individual,Manual,First Owner,450000
160081,12.99 kmpl,2494 CC,100.6 bhp,8,2016,140000,Diesel,Individual,Manual,First Owner,1200000
160082,22.77 kmpl,1498 CC,98.59 bhp,5,2015,90000,Diesel,Individual,Manual,First Owner,610000
160083,15.71 kmpl,1998 CC,189 bhp,5,2016,30000,Petrol,Individual,Automatic,Second Owner,2500000
160084,23.1 kmpl,998 CC,67.04 bhp,5,2017,10000,Petrol,Dealer,Manual,First Owner,484999
